site,name,country,lon,lat,elev,IGBP,MAP,MAT,tier1,tier2,url
AR-SLu,San Luis,Argentina,-66.4598,-33.4648,"",MF,400,"",2009-2011,2009-2011,http://sites.fluxdata.org/AR-SLu/
AR-Vir,Virasoro,Argentina,-56.1886,-28.2395,"",ENF,"","",2009-2012,2009-2012,http://sites.fluxdata.org/AR-Vir/
AT-Neu,Neustift,Austria,11.3175,47.11667,970,GRA,852,6.3,2002-2012,2002-2012,http://sites.fluxdata.org/AT-Neu/
AU-ASM,Alice Springs,Australia,133.2490,-22.2830,"",ENF,"","",2010-2013,2010-2014,http://sites.fluxdata.org/AU-ASM/
AU-Ade,Adelaide River,Australia,131.1178,-13.0769,"",WSA,"","",2007-2009,2007-2009,http://sites.fluxdata.org/AU-Ade/
AU-Cpr,Calperum,Australia,140.5891,-34.0021,"",SAV,"","",2010-2014,2010-2014,http://sites.fluxdata.org/AU-Cpr/
AU-Cum,Cumberland Plain,Australia,150.72362,-33.61518,"",EBF,"","",2012-2014,2012-2014,http://sites.fluxdata.org/AU-Cum/
AU-DaP,Daly River Savanna,Australia,131.3181,-14.0633,"",GRA,983.78,27.25,2007-2013,2007-2013,http://sites.fluxdata.org/AU-DaP/
AU-DaS,Daly River Cleared,Australia,131.3881,-14.1593,"",SAV,975.82,27.22,2008-2014,2008-2014,http://sites.fluxdata.org/AU-DaS/
AU-Dry,Dry River,Australia,132.3706,-15.2588,"",SAV,"","",2008-2014,2008-2014,http://sites.fluxdata.org/AU-Dry/
AU-Emr,Emerald,Australia,148.4746,-23.8587,"",GRA,"","",2011-2013,2011-2013,http://sites.fluxdata.org/AU-Emr/
AU-Fog,Fogg Dam,Australia,131.3072,-12.5452,"",WET,1323.69,27.02,2006-2008,2006-2008,http://sites.fluxdata.org/AU-Fog/
AU-GWW,"Great Western Woodlands, Western Australia, Australia",Australia,120.6541,-30.1913,"",SAV,"","",2013-2014,2013-2014,http://sites.fluxdata.org/AU-GWW/
AU-Gin,Gingin,Australia,115.7138,-31.3764,"",WSA,"","",2011-2014,2011-2014,http://sites.fluxdata.org/AU-Gin/
AU-How,Howard Springs,Australia,131.1523,-12.4943,"",WSA,1449.35,27.01,2001-2014,2001-2014,http://sites.fluxdata.org/AU-How/
AU-Lox,Loxton,Australia,140.6551,-34.4704,"",DBF,"","",2008-2009,2008-2009,http://sites.fluxdata.org/AU-Lox/
AU-RDF,"Red Dirt Melon Farm, Northern Territory",Australia,132.4776,-14.5636,"",WSA,"","",2011-2013,2011-2013,http://sites.fluxdata.org/AU-RDF/
AU-Rig,Riggs Creek,Australia,145.5759,-36.6499,"",GRA,"","",2011-2014,2011-2014,http://sites.fluxdata.org/AU-Rig/
AU-Rob,"Robson Creek, Queensland, Australia",Australia,145.6301,-17.1175,"",EBF,"","",2014-2014,2014-2014,http://sites.fluxdata.org/AU-Rob/
AU-Stp,Sturt Plains,Australia,133.3502,-17.1507,"",GRA,"","",2008-2014,2008-2014,http://sites.fluxdata.org/AU-Stp/
AU-TTE,Ti Tree East,Australia,133.6400,-22.2870,"",OSH,"","",2012-2013,2012-2014,http://sites.fluxdata.org/AU-TTE/
AU-Tum,Tumbarumba,Australia,148.1517,-35.6566,1200,EBF,1159.01,10.72,2001-2014,2001-2014,http://sites.fluxdata.org/AU-Tum/
AU-Wac,Wallaby Creek,Australia,145.1878,-37.4259,"",EBF,1105.59,12.76,2005-2008,2005-2008,http://sites.fluxdata.org/AU-Wac/
AU-Whr,Whroo,Australia,145.0294,-36.6732,"",EBF,"","",2011-2014,2011-2014,http://sites.fluxdata.org/AU-Whr/
AU-Wom,Wombat,Australia,144.0944,-37.4222,705,EBF,"","",2010-2012,2010-2014,http://sites.fluxdata.org/AU-Wom/
AU-Ync,Jaxa,Australia,146.2907,-34.9893,"",GRA,"","",2012-2014,2012-2014,http://sites.fluxdata.org/AU-Ync/
BE-Bra,Brasschaat,Belgium,4.51984,51.30761,16,MF,750,9.8,1996-2014,1996-2014,http://sites.fluxdata.org/BE-Bra/
BE-Lon,Lonzee,Belgium,4.74613,50.5516,167,CRO,800,10,2004-2014,2004-2014,http://sites.fluxdata.org/BE-Lon/
BE-Vie,Vielsalm,Belgium,5.99808,50.30496,493,MF,1062,7.8,1996-2014,1996-2014,http://sites.fluxdata.org/BE-Vie/
BR-Sa1,Santarem-Km67-Primary Forest,Brazil,-54.9588900,-2.85667,88,EBF,2074.79,26.13,"",2002-2011,http://sites.fluxdata.org/BR-Sa1/
BR-Sa3,Santarem-Km83-Logged Forest,Brazil,-54.9714400,-3.01803,100,EBF,2043.77,26.12,2000-2004,2000-2004,http://sites.fluxdata.org/BR-Sa3/
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",Canada,-82.1556,48.2167,340,MF,831,1.3,"",2003-2014,http://sites.fluxdata.org/CA-Gro/
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),Canada,-98.4808100,55.8796200,259,ENF,520,-3.2,1994-2008,1994-2008,http://sites.fluxdata.org/CA-Man/
CA-NS1,UCI-1850 burn site,Canada,-98.4838900,55.8791700,260,ENF,500.29,-2.89,2001-2005,2001-2005,http://sites.fluxdata.org/CA-NS1/
CA-NS2,UCI-1930 burn site,Canada,-98.5247200,55.9058300,260,ENF,499.82,-2.88,2001-2005,2001-2005,http://sites.fluxdata.org/CA-NS2/
CA-NS3,UCI-1964 burn site,Canada,-98.3822200,55.9116700,260,ENF,502.22,-2.87,2001-2005,2001-2005,http://sites.fluxdata.org/CA-NS3/
CA-NS4,UCI-1964 burn site wet,Canada,-98.380645,55.914370,260,ENF,502.22,-2.87,2002-2005,2002-2005,http://sites.fluxdata.org/CA-NS4/
CA-NS5,UCI-1981 burn site,Canada,-98.4850,55.8630600,260,ENF,500.34,-2.86,2001-2005,2001-2005,http://sites.fluxdata.org/CA-NS5/
CA-NS6,UCI-1989 burn site,Canada,-98.9644400,55.9166700,244,OSH,495.37,-3.08,2001-2005,2001-2005,http://sites.fluxdata.org/CA-NS6/
CA-NS7,UCI-1998 burn site,Canada,-99.9483300,56.6358300,297,OSH,483.27,-3.52,2002-2005,2002-2005,http://sites.fluxdata.org/CA-NS7/
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",Canada,-106.1977900,53.6288900,530,DBF,428.53,0.34,"",1996-2010,http://sites.fluxdata.org/CA-Oas/
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",Canada,-105.1177900,53.9871700,628.94,ENF,405.6,0.79,"",1997-2010,http://sites.fluxdata.org/CA-Obs/
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",Canada,-74.3420600,49.6925,382,ENF,962.32,-0.36,2003-2010,2003-2010,http://sites.fluxdata.org/CA-Qfo/
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",Canada,-105.8175700,54.4850300,536,ENF,470,0.4,2003-2006,2003-2006,http://sites.fluxdata.org/CA-SF1/
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",Canada,-105.8775000,54.2539200,520,ENF,470,0.4,2001-2005,2001-2005,http://sites.fluxdata.org/CA-SF2/
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",Canada,-106.0052600,54.0915600,540,OSH,470,0.4,2001-2006,2001-2006,http://sites.fluxdata.org/CA-SF3/
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,Canada,-80.55951944,42.66093611,265,ENF,1036,8,"",2002-2014,http://sites.fluxdata.org/CA-TP1/
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,Canada,-80.458775,42.77441944,212,ENF,1036,8,"",2002-2007,http://sites.fluxdata.org/CA-TP2/
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,Canada,-80.34831389,42.70681111,184,ENF,1036,8,"",2002-2014,http://sites.fluxdata.org/CA-TP3/
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,Canada,-80.357376,42.710161,184,ENF,1036,8,"",2002-2014,http://sites.fluxdata.org/CA-TP4/
CA-TPD,Ontario - Turkey Point Mature Deciduous,Canada,-80.557731,42.635328,260,DBF,1036,8,"",2012-2014,http://sites.fluxdata.org/CA-TPD/
CG-Tch,Tchizalamou,Republic of Congo,11.65642,-4.28917,82,SAV,1150,25.7,"",2006-2009,http://sites.fluxdata.org/CG-Tch/
CH-Cha,Chamau,Switzerland,8.41044,47.21022,393,GRA,1136,9.5,2005-2014,2005-2014,http://sites.fluxdata.org/CH-Cha/
CH-Dav,Davos,Switzerland,9.85591,46.81533,1639,ENF,1062,2.8,1997-2014,1997-2014,http://sites.fluxdata.org/CH-Dav/
CH-Fru,Früebüel ,Switzerland,8.53778,47.11583,982,GRA,1651,7.2,2005-2014,2005-2014,http://sites.fluxdata.org/CH-Fru/
CH-Lae,Laegern,Switzerland,8.3650,47.47808,689,MF,1100,8.3,2004-2014,2004-2014,http://sites.fluxdata.org/CH-Lae/
CH-Oe1,Oensingen grassland,Switzerland,7.73194,47.28583,450,GRA,1100,9,2002-2008,2002-2008,http://sites.fluxdata.org/CH-Oe1/
CH-Oe2,Oensingen crop,Switzerland,7.73433,47.28631,452,CRO,1155,9.8,2004-2014,2004-2014,http://sites.fluxdata.org/CH-Oe2/
CN-Cha,Changbaishan,China,128.0958,42.4025,"",MF,663.59,2.16,2003-2005,2003-2005,http://sites.fluxdata.org/CN-Cha/
CN-Cng,Changling,China,123.5092,44.5934,"",GRA,"","",2007-2010,2007-2010,http://sites.fluxdata.org/CN-Cng/
CN-Dan,Dangxiong,China,91.0664,30.4978,"",GRA,246.88,-1.54,2004-2005,2004-2005,http://sites.fluxdata.org/CN-Dan/
CN-Din,Dinghushan,China,112.5361,23.1733,"",EBF,1618.1,19.64,2003-2005,2003-2005,http://sites.fluxdata.org/CN-Din/
CN-Du2,Duolun_grassland (D01),China,116.2836,42.0467,"",GRA,318.96,2.01,2006-2008,2006-2008,http://sites.fluxdata.org/CN-Du2/
CN-Du3,Duolun Degraded Meadow,China,116.2809,42.0551,"",GRA,"","","",2009-2010,http://sites.fluxdata.org/CN-Du3/
CN-Ha2,Haibei Shrubland,China,101.3269,37.6086,"",WET,"","",2003-2005,2003-2005,http://sites.fluxdata.org/CN-Ha2/
CN-HaM,Haibei Alpine Tibet site,China,101.1800,37.3700,"",GRA,"","",2002-2004,2002-2004,http://sites.fluxdata.org/CN-HaM/
CN-Qia,Qianyanzhou,China,115.0581,26.7414,"",ENF,1466.75,18.95,2003-2005,2003-2005,http://sites.fluxdata.org/CN-Qia/
CN-Sw2,Siziwang Grazed (SZWG),China,111.8971,41.7902,"",GRA,"","",2010-2012,2010-2012,http://sites.fluxdata.org/CN-Sw2/
CZ-BK1,Bily Kriz forest,Czech Republic,18.53686,49.50213,875,ENF,1316,6.7,2004-2008,2004-2014,http://sites.fluxdata.org/CZ-BK1/
CZ-BK2,Bily Kriz grassland,Czech Republic,18.54285,49.49443,855,GRA,1316,6.7,2004-2006,2004-2012,http://sites.fluxdata.org/CZ-BK2/
CZ-wet,Trebon (CZECHWET),Czech Republic,14.77035,49.02465,426,WET,604,7.7,2006-2014,2006-2014,http://sites.fluxdata.org/CZ-wet/
